230.0576835616010j,58.13819301776392-108.20609441497528j,60.81540014308786-40.786817150506366j,-29.784090174700353-100.941685278204j,-178.04371339770316-78.42660117999215j,-20.644338659676365+218.01936855534416j,-30.602365671661687-84.22578049467376j,-107.57369708592752+26.09296860344403j,198.87045669249477-28.272954467753266j,-131.41235204211233+128.69995585888057j,49.41954167682058+38.9865857152129j,91.53906551714809+30.786029982766365j,53.68503890106557+48.31683121994294j,188.9822070900159-127.30010572842441j,32.780639177301666+95.4182727130756j,48.159564406194605-80.35792463306352j,-4.97272989288817+52.43148672876002j,-34.4529881637796-72.86879329636668j,-206.40818493261395-65.15151701601039j,-158.80392564819547+163.60645787621306j,-32.18369936306062+48.71280961645027j
230.0572705120490j,55.42250276065138-114.88515546883804j,55.70530445018565-46.03168138415724j,-27.4810988438483-94.74000144091522j,-185.09171207243884-81.03916059534812j,-24.48844083738654+209.52557449343612j,-40.893313940098224-69.70510935804398j,-100.53667439070237+22.950658636994405j,213.57583496319631-39.4721034277466j,-124.74355526934596+135.23892599000095j,54.55669458537288+47.0698857968939j,96.9471765800208+22.71436523299188j,57.52774056202314+23.27541813109545j,177.39500066001526-133.81487117191153j,25.289419927483415+106.48627948094995j,49.097507353560296-76.32609204336966j,3.5806945227002744+51.4539063155313j,-28.896651862682354-67.3693439747041j,-199.33513075395035-60.29174756717242j,-163.55028750677346+161.13700902315486j,-28.676464485834327+66.47627794809578j
230.0568500303360j,54.281104193035205-123.8326208365743j,48.45623319717574-51.4966644005139j,-28.19513832962818-90.86341867664007j,-194.0269809926786-84.0465373554317j,-27.132395055917584+202.69304940817688j,-48.94986367217237-50.97634465527537j,-96.86189259451092+18.21106106698655j,228.77127234829243-51.26099465549966j,-112.91002286901292+142.1659540242896j,64.35844045819061+55.10189965359603j,101.75115368552076+15.152135170823762j,59.294800583215036-8.458872080503532j,165.1781930318116-136.85965819793853j,19.005138303882884+113.81748666454298j,51.5374164230561-74.18391049036649j,12.454811578980427+50.20911334750513j,-20.84527097717701-64.84300575396678j,-187.53604012757597-57.398580497913045j,-169.9332475308462+157.1620561604334j,-25.908979187207926+84.55705152703875j
230.0564490239910j,52.0932149890064-133.437363663825j,42.36074354854797-53.23221433280929j,-25.600225386284716-83.10903264113443j,-201.01836587853066-88.04430248359162j,-30.696066006525925+195.3424773769156j,-55.235190930309386-34.294379073918684j,-98.18259845857145+14.519770987586226j,241.3986714419459-58.98384499245442j,-97.03788271756414+145.949383078832j,68.89166271404098+63.646139858698504j,106.12571060220179+9.62836641462604j,56.84958749121934-44.39595596576241j,150.47245808965764-133.95671300620413j,17.714572622569097+124.54019574354714j,51.76171107237539-69.03716610778363j,23.429359366342453+45.87910883532983j,-12.878671377669505-61.91170460080933j,-176.5878007394411-53.03356170643404j,-174.85712534685456+154.9689409398335j,-19.20803073898083+101.55491335242343j
230.0560931543170j,46.44807945756352-141.32825458327213j,32.27914268647065-55.582662639294654j,-25.678257274924817-76.92469307081436j,-206.98989590771052-91.846478869995j,-33.88345532918644+188.13708391779244j,-62.39985137099177-20.35151738314692j,-101.93947144432147+14.584785038589228j,249.69000499048545-66.52549785609492j,-77.20082142763974+149.76778416876562j,75.12251627273264+71.37215717905396j,108.28500288952881+1.7746814625741685j,52.938105519673954-81.89721131924789j,136.88155151477105-127.41338758686611j,15.922955241074371+132.95723506512462j,55.12731809856571-61.28666611635357j,34.74483544937688+42.342529200442726j,-6.506274443859608-60.87575691825539j,-163.17017366944953-47.25198614337542j,-181.9770293552197+151.42137407811185j,-11.855076074917367+116.67739102947478j
230.0558051946050j,43.03452768731714-148.18373538733636j,23.09308638023241-55.18751061180204j,-20.465924687893484-73.04023799642249j,-216.07526552070934-94.98733128342639j,-38.335539257580145+181.34662014416244j,-62.89236839747613-2.859472964893376j,-106.18635611795469+15.133652794822115j,255.3997255844817-70.51741782587578j,-55.583961760775395+151.0935772793538j,85.08532677229113+79.81813288308811j,109.15977546746674-5.020458647627667j,44.47706506153134-116.52281092033688j,118.73344747625733-114.26905847954532j,14.739750849306853+135.83826172393952j,58.80073455985026-51.93770623241548j,47.1304950468651+39.38867680204457j,0.7679153871113621-60.83384357242336j,-151.85818830399108-40.46187502259879j,-187.26416856007802+150.76198413452184j,-4.162081402363903+131.48535258855412j
230.0556035730740j,39.831873895822454-155.46912629656532j,11.823658432654733-55.46633029320833j,-14.883106578039467-68.89511091018719j,-223.32924178350476-97.91694610036384j,-43.18110812613434+174.72425186723694j,-61.11962103519759+13.356187351292785j,-111.18666409078685+14.8127890848103j,260.8215973509537-73.46234380774803j,-32.9164405187257+151.74037285629794j,95.78973864413743+86.52284765082769j,109.39510186748896-9.899934030493508j,33.061093061343-148.94548858994j,100.83884783126885-95.87843945882595j,16.021400576887082+137.71064664576562j,63.4160883776998-43.51584942299335j,57.55395652928276+34.67768286582222j,7.39759844294456-59.71550416952467j,-137.9876522449698-35.42488753387649j,-195.2866651084941+146.78905107645406j,2.6292922579571396+143.139268382295j
230.0555011936610j,35.6751886398572-162.57208598804348j,0.7167424692688024-54.32715981231662j,-11.334932569389238-64.56508845780155j,-228.3469776293948-100.22652846633235j,-46.44745937998066+169.68882821779755j,-61.53736111099647+28.84336276532261j,-114.90822789735338+18.63178308916258j,264.3479513978152-73.27654645125031j,-5.322009462976597+154.17823008192045j,107.06736511835713+88.60421086592244j,111.84060118857218-13.36083409485588j,19.05427622002557-178.13294547750237j,84.92086491895074-72.29466675715003j,16.108887022116733+134.33648181037574j,65.28900893280743-37.81296192686879j,64.12204432049967+26.208107907262544j,15.35707045958041-61.03164102769951j,-126.86157208444585-28.81205749135738j,-202.15852397456138+143.67706088028422j,12.449057254565894+154.64443321381606j
230.0555046101810j,30.043409947063594-169.01842727306547j,-9.183048677800546-54.1498445996304j,-7.387384005134356-59.03696174613991j,-233.67324556939576-101.92148860358634j,-48.59526826783255+166.12128789795761j,-63.040367228626316+43.36106044151841j,-119.65724663815132+24.844303112849826j,269.5527457741616-71.8017015297751j,21.752092407831803+155.8193030328098j,120.86663680926102+90.30246069955024j,114.83906215599745-15.68241170409998j,0.9502229319688702-199.93273979204065j,70.82989500277853-47.17318046148623j,17.10437269812626+126.36596004457772j,67.74576250373852-28.84558904830647j,71.23270133491027+19.282487800037565j,16.640425293758117-65.51108939449742j,-113.47439765969237-22.63514510738718j,-204.29275375941393+138.0727664576196j,23.546138665322424+163.94471189854437j
230.0556136066050j,23.66699875888768-176.56597489195877j,-21.51891936531807-49.505714516951784j,0.34863913150348935-53.865181785284136j,-239.23377791947843-102.02282854889305j,-51.093884443084605+160.98310563040945j,-59.272434596563784+59.747546470361414j,-119.60424306089973+31.673907730119286j,273.6948657109142-64.98014455879056j,45.47039897915252+159.2349364414914j,134.19723020664304+88.33999767247154j,120.98017888157447-17.860149413430747j,-24.1065853469618-215.3414964233938j,58.28601168731909-17.04505030232913j,16.546279796477158+115.85594651450512j,71.05789769499853-21.25048655637197j,73.40226530045308+9.841891565425527j,14.899255986169962-70.29522998350323j,-102.27517230796971-16.609886204414735j,-203.8689521463654+132.03572993354106j,35.13697873293889+169.4260020230505j
